created_at,text,screen_name,source,location,followers_count,friends_count,retweet_count,language,sentiment_polarity
Tue May 01 02:41:58 +0000 2018, bCFTC Chairman J. Christopher Cryptodad Giancarlo to Retire Aft ...\\nClick  https://t.co/Prc3UTFj0R\\n\\n#ripple https://t.co/KiH5PIf2rO, grockrecords2, <a href=https://www.bitcoinadstrain.com/category/blog/ rel=nofollow>B.A.T Crypto News</a>, WORLDWIDE,1543,2208,0, en, Neutral
Tue May 01 02:42:01 +0000 2018, bBlockchain Companies Disrupting The Global Remittance Industry https://t.co/LHLPgjwIxq, crypto__tweets, <a href=https://www.google.co.uk/ rel=nofollow>crypto__tweets</a>, ,19,0,0, en, Neutral
Tue May 01 02:42:01 +0000 2018, bRT @UserExperienceU: #Global #Digital #Consultancy Start-up Pt2 #Adjusted #Governance #Magic #Bullet #Futurist #IoT #BlockChain #Agile #Dev, MIQviG9n6VSlLle, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, ,0,49,0, en, Neutral
Tue May 01 02:42:02 +0000 2018, bRT @Serenity_io: #ICOSerenity #SerenityFinancial\\nA Portuguese version of ADVFX has published an article by Serenity Founder Stanislav Vanee, dm_crypto12, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, ,834,4995,0, en, Neutral
Tue May 01 02:42:03 +0000 2018, bRT @justinsuntron: Livestream with Taiwan legislator and #blockchain advocate Jason Hsu @augama will take place tonight at 9pm PST. Link co, uupatrick2, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,1,51,0, es, Neutral
Tue May 01 02:42:03 +0000 2018, bRT @UserExperienceU: #Global #Digital #Consultancy Start-up Pt2 #Adjusted #Governance #Magic #Bullet #Futurist #IoT #BlockChain #Agile #Dev, afqwuotncz09881, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, ,0,0,0, en, Neutral
Tue May 01 02:42:05 +0000 2018, bRT @UserExperienceU: #DigitalBusiness and #AI should use Hegelian Logic to find very different and valuable customer insights #Futurist #Io, gZO1L77WthmAF9h, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, ,2,40,0, en, Neutral
Tue May 01 02:42:04 +0000 2018, bRT @crimson_crypto: The Four New Rules of #Digital #Business\\n\\n#IoT #bigdata #fintech #blockchain #MachineLearning #cybersecurity\\n@MHiesboec, RelevantTrack, <a href=http://twitter.com/#!/download/ipad rel=nofollow>Twitter for iPad</a>, Texas,10758,1215,0, en, Positive
Tue May 01 02:42:01 +0000 2018, bRT @UserExperienceU: #Global #Digital #Consultancy Start-up Pt2 #Adjusted #Governance #Magic #Bullet #Futurist #IoT #BlockChain #Agile #Dev, MIQviG9n6VSlLle, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, ,0,49,0, en, Neutral
Tue May 01 02:42:05 +0000 2018, bRT @InvestInBrokers: @InvestInBrokers has partnered up with @LDJCapital . Stay tuned for more details on this exciting development.\\n\\n#crypt, plastererduplic, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,537,800,0, ru, Positive
Tue May 01 02:42:09 +0000 2018, bRT @UserExperienceU: #UbiNET Inc. expands into Florida to deliver #UbiNETPlatform #Futurist #IoT #BlockChain #Agile #DevOps  https://t.co/P, nancee3636ro, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,0,0, ru, Neutral
Tue May 01 02:42:12 +0000 2018, bRT @ValaAfshar: This may be the shortest and best definition of blockchain https://t.co/vTyWA4snXQ, laverdaddeuno, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, Arg,102,434,0, es, Positive
Tue May 01 02:42:10 +0000 2018, bJapan\s Bic Camera to Accept Bitcoin Payments at All Stores https://t.co/quKktufYHd #bitcoin #bitcoinnews https://t.co/HggWJTLThW, CryptoSubs1, <a href=https://contentstudio.io rel=nofollow>ContentStudio.io</a>, United States,5,58,0, en, Neutral
Tue May 01 02:42:11 +0000 2018, b#hut34protocol in action. Proof of concept platform now live #interbot #chatbots #IoT devices transacting data and https://t.co/ro5dp0TCN7, hut34project, <a href=https://www.socialjukebox.com rel=nofollow>The Social Jukebox</a>, ,2106,577,0, en, Positive
Tue May 01 02:42:13 +0000 2018, bRT @javacodegeeks: Concerns About The Blockchain Technology https://t.co/EGU91qrUBY, CodingFlux_, <a href=https://twitter.com/JavaBot_ rel=nofollow>java bot 7</a>, ,8545,4008,0, en, Neutral
Tue May 01 02:42:13 +0000 2018, bRT @UserExperienceU: #IoT #Ecosystems require #Ontologies of your #Products and #Services #Futurist #IoT #BlockChain #Agile #DevOps  https:, AKxSuiKfF2uRhfk, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, ,0,50,0, en, Neutral
Tue May 01 02:42:13 +0000 2018, bRT @IronBlock_io: Project representative IronBlock Pierre Ovalles took part in the Bitcoin Private Conference\\nhttps://t.co/qjjn2MmkCJ\\n#ico, slicercitrine, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,586,864,0, ru, Neutral
Tue May 01 02:42:13 +0000 2018, bRT @SmileyGnome: Great interview by @ricecrypto of @nathan_hauk about the Baltimore #Crypto Shit Show and the next one coming up on May 23r, the_cypherpunks, <a href=http://twitter.com/download/iphone rel=nofollow>Twitter for iPhone</a>, The Earth,940,8,0, en, Positive
Tue May 01 02:42:13 +0000 2018, bRT @CoinFM: UNICEF Wants to Use Your CPU to Mine Monero to Raise Funds for Children #cryptocurrency #blockchain #ICO     https://t.co/6VcMu, ronnicota5, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,0,0, en, Positive
Tue May 01 02:42:17 +0000 2018, bRT @CoinAirdropsAll: #Bitcoin #Satoshi #Earn_Money #cryptocurrency #blockchain #Airdrop\\nNew Airdrop #Aelf \\n\\nAelf giving away 1000 coins ev, CoinAirdropsAll, <a href=https://mobile.twitter.com rel=nofollow>Mobile Web (M2)</a>, Blockchain,142,116,0, en, Neutral
Tue May 01 02:42:18 +0000 2018, bRT @justinsuntron: BitcoinWorld will be running for #TronSR! @bitcoinworldinc is a blockchain-based Internet finance company that provides, sandy99376535, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,40,0, en, Neutral
Tue May 01 02:42:20 +0000 2018, bRT @TWIST_project: This quarter we plan to release a $TWIST Web Wallet which also includes integrated $TWIST Toolbox functionality such as, alannocau1978, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,592,801,0, ru, Neutral
Tue May 01 02:42:20 +0000 2018, bRT @justinsuntron: In two hours (9pm PST) I\ll be chatting live with @augama about the future of blockchain.  #TRONSR $TRX https://t.co/FmS, maegan4945hx, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,0,0, en, Positive
Tue May 01 02:42:22 +0000 2018, bRT @UserExperienceU: Website #help and #support systems should #avoid #FAQ #Futurist #IoT #BlockChain #Agile #DevOps  https://t.co/1TGxsQZj, joyce0704dn, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,0,0, en, Neutral
Tue May 01 02:42:22 +0000 2018, bRT @WealthE_Coin: New to the whole ICO thing?  Here is some info about what you need to know! #ICOs #Bitcoin #Blockchain #WealthMigrate #We, ApetAtmaja, <a href=https://mobile.twitter.com rel=nofollow>Twitter Lite</a>, Cibarusah.indonesia,2937,4373,0, id, Positive
Tue May 01 02:42:23 +0000 2018, bRT @Serenity_io: #ICOSerenity #SerenityFinancial\\nWhat is the most important aspects of Serenity project? Watch the interview with Serenity, dm_crypto12, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, ,834,4995,0, en, Positive
Tue May 01 02:42:23 +0000 2018, bICO Funding Slows in April to Lowest in Eight Months https://t.co/RmqvAbUFXn by #hacked. #Crypto #Blockchain https://t.co/McVTWALdVy, findingreview, <a href=https://ifttt.com rel=nofollow>IFTTT</a>, ,7402,7419,0, en, Neutral
Tue May 01 02:42:23 +0000 2018, bRT @UserExperienceU: #DigitalBusiness and #AI should use Hegelian Logic to find very different and valuable customer insights #Futurist #Io, gsmaktebqjv1911, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,40,0, en, Neutral
Tue May 01 02:42:24 +0000 2018, b@LA_Blockchain @bytemaster7 @LostinSentience @VitalikButerin Youre delusional. Check out https://t.co/kN7tqhdxog. https://t.co/OQTiJFLp5t, HastenCrypto, <a href=http://twitter.com/download/iphone rel=nofollow>Twitter for iPhone</a>, ,7315,622,0, en, Neutral
Tue May 01 02:42:25 +0000 2018, bRT @AmbitIco: #Ambit #Mining attended first #blockchain summit in #Georgia. We have met blockchain enthusiasts all around the world and sha, jrog82, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,3136,5001,0, en, Positive
Tue May 01 02:42:25 +0000 2018, bRT @swachhcoin: Know about the daunting task of solid waste management. Swachhcoin technology will empower SWM. A perfect read conserve ene, limitlessincome, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, Republic of the Philippines,250,613,0, en, Positive
Tue May 01 02:42:25 +0000 2018, bRT @justinsuntron: BitcoinWorld will be running for #TronSR! @bitcoinworldinc is a blockchain-based Internet finance company that provides, myongrichmond16, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,1,30,0, en, Neutral
Tue May 01 02:42:25 +0000 2018, bWhat is a Fork?  Simple user guide https://t.co/88dVO9ZonX #blockchain #medium #bitcoin, MyrzabaevAlim, <a href=http://klava.org rel=nofollow>KlavaUsed</a>, ,5024,4794,0, ru, Neutral
Tue May 01 02:42:25 +0000 2018, bICO Funding Slows in April to Lowest in Eight Months #hacked #Crypto #Blockchain #icomarket https://t.co/BHS6zNKg9S https://t.co/kVEOBbdcCy, bitcoinagile, <a href=http://bitcoinagile.com rel=nofollow>bitcoinagile</a>, Matter Doesnt Matter,47888,11634,0, en, Neutral
Tue May 01 02:42:28 +0000 2018, bJoining hands with our partners to bring innovation to businesses through blockchain, ultimatemediawo, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,7,0, en, Neutral
Tue May 01 02:42:28 +0000 2018, bRT @InvestInBrokers: @InvestInBrokers has partnered up with @LDJCapital . Stay tuned for more details on this exciting development.\\n\\n#crypt, frugalsubscript, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,575,718,0, ru, Positive
Tue May 01 02:42:29 +0000 2018, b\RT @tommorris: IDEA: Someone should make an exact copy of sqlite called Blockchain.\\n\\nWhen a managerial-level moron wants you to use Blockc\, fkuhne, <a href=http://twitter.com/download/iphone rel=nofollow>Twitter for iPhone</a>, Porto Alegre,92,167,0, en, Negative
Tue May 01 02:42:29 +0000 2018, bSee this? Hyperion: Supporting #Blockchain Entrepreneurs https://t.co/u3GtdB0FiY https://t.co/ItYoxNd6bC, CryptoCoinDevil, <a href=http://coindevil.com rel=nofollow>coindevil twitter app</a>, ,209,51,0, en, Positive
Tue May 01 02:42:30 +0000 2018, bRT @IronBlock_io: Project representative IronBlock Pierre Ovalles took part in the Bitcoin Private Conference\\nhttps://t.co/qjjn2MmkCJ\\n#ico, kattocalsetz191, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ����������������,1097,1187,0, ru, Neutral
Tue May 01 02:42:30 +0000 2018, bRT @UserExperienceU: #Getting into #User #Experience Part 2 #Futurist #IoT #BlockChain #Agile #DevOps  https://t.co/wxMdKo5rat https://t.co, ronnicota5, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,0,0, en, Neutral
Tue May 01 02:42:31 +0000 2018, bRT @BUFF_Team: Thank you @BCGbiz! &gt;&gt; BUFF will reward gamers across platforms just for playing\\n#buff #blockchain #gamers\\n\\nhttps://t.co/dC, GodfreeAlex, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,7,0, ru, Neutral
Tue May 01 02:42:33 +0000 2018, b@ummjackson @ahcastor What the blockchain patent question? They want royalties too ?, psycho_sage, <a href=http://twitter.com/download/iphone rel=nofollow>Twitter for iPhone</a>, ,153,614,0, en, Neutral
Tue May 01 02:42:34 +0000 2018, bRT @CoinFM: Dubai Police Arrest Suspects Behind $1.9 Million Bitcoin Heist #cryptocurrency #blockchain #ICO     https://t.co/6VcMuIHubT htt, tashaware20, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,35,0, en, Negative
Tue May 01 02:42:34 +0000 2018, bSee this? How #Blockchain Trade Finance Is Breaking Proof-of-Concept Gridlock https://t.co/FdIwYTRA1i https://t.co/s8RBk2rrF9, CryptoCoinDevil, <a href=http://coindevil.com rel=nofollow>coindevil twitter app</a>, ,209,51,0, en, Neutral
Tue May 01 02:42:35 +0000 2018, bThe Success Coach! https://t.co/tS7LElbBuZ Thanks to @trambi_78 @CharlieTomson @cemu #leadership #blockchain, maximumchange, <a href=http://paper.li rel=nofollow>Paper.li</a>, USA (Worldwide),3193,438,0, en, Positive
Tue May 01 02:42:36 +0000 2018, bRT @UserExperienceU: #UbiNET Inc. expands into Florida to deliver #UbiNETPlatform #Futurist #IoT #BlockChain #Agile #DevOps  https://t.co/P, phyliss71745096, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,20,0, en, Neutral
Tue May 01 02:42:37 +0000 2018, bRT @IBMFinTech: Learn how blockchain technology can improve bank\s payments processing ability with lower cost and greater transparency. Jo, DigitalBankUSA, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, United States,1369,3459,0, en, Positive
Tue May 01 02:42:38 +0000 2018, bRT @SennoGroup: Senno ICO: Decentralized Blockchain Sentiment Analysis Network https://t.co/sXdcwWcZGM Senno  #ICO #TokenSale #NEO #Blockch, 2211Minh, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, Vi���,17,288,0, vi, Neutral
